age,income,loan_amount,loan_term,num_of_credit_lines,credit_history_length,num_of_delinquencies,credit_score,savings,employment_length,default
53,938.43,7941.3,24,7,7,2,609,13222.99,3,0
48,3737.09,11126.0,43,5,3,3,622,24436.61,8,0
18,32.77,7406.8,60,5,3,5,627,20905.45,18,0
52,67099.88,6635.15,18,4,1,1,520,10784.03,6,1
51,19299.73,9132.6,15,1,2,3,563,9211.24,8,0
52,14332.06,2118.38,17,4,5,1,629,2121.48,9,1
46,8000.58,4702.9,18,5,3,1,595,22007.6,11,0
24,409.19,11246.85,28,2,5,1,603,28638.52,5,0
57,13705.36,2820.23,53,4,6,1,571,14167.49,6,1
42,1937.14,7311.53,51,3,3,1,655,17272.12,7,0
51,15041.83,2784.93,25,3,3,1,707,17927.31,13,1
18,31.65,1543.27,44,3,2,4,630,20526.79,18,0
32,2979.71,15590.13,26,5,6,1,623,4631.66,1,1
45,815.69,3333.9,20,1,3,4,493,8158.73,5,0
46,541.76,7367.25,33,4,2,1,585,10821.7,3,0
80,13076.77,24347.53,46,1,2,1,692,45665.73,4,1
46,3160.53,3412.83,23,2,2,1,600,11353.48,8,1
27,780.54,7954.86,52,1,5,1,559,8234.16,11,0
46,2810.16,2674.91,30,1,1,1,577,6866.3,10,0
51,7421.43,9832.83,17,5,2,4,575,10225.65,4,1
33,448.27,5293.67,31,4,5,1,571,14751.56,9,0
56,8629.85,29151.67,92,3,11,3,579,148268.27,26,1
48,58613.6,7639.06,37,3,8,1,581,56063.73,13,0
29,1078.62,10860.34,38,1,4,0,662,18212.18,6,0
50,768.39,1353.82,29,2,1,4,653,7921.1,0,0
46,4134.03,4231.31,14,6,5,2,573,21078.97,5,0
31,2434.82,1085.22,18,2,3,7,522,3489.97,6,1
41,8348.71,7619.77,50,3,10,2,592,51799.51,7,1
54,3275.93,5012.56,16,9,2,3,622,14742.68,10,0
65,11657.49,13337.17,23,1,2,2,542,46237.4,15,1
56,5451.26,3553.71,35,4,1,3,595,10774.05,3,0
80,9130.23,28021.78,26,2,5,3,612,78685.59,12,1
44,1919.67,1440.61,20,3,1,2,608,16751.67,16,0
60,9718.69,2809.07,28,4,4,4,533,16178.88,8,0
47,6883.19,10846.81,32,6,1,7,605,24379.12,4,1
42,9355.03,8270.47,17,3,5,1,598,27092.41,10,0
42,29842.65,12475.82,20,4,5,0,579,18782.61,10,0
29,761.74,10350.24,31,3,7,1,583,32373.36,8,0
43,13531.19,2389.72,31,3,7,6,586,20511.75,2,1
40,1844.84,9922.21,26,3,2,2,657,13881.72,0,0
36,207.45,1901.6,16,2,4,1,544,8146.66,8,0
33,912.49,10792.69,31,3,8,2,682,56561.0,4,1
45,92412.93,12998.72,35,1,11,1,697,48812.16,4,0
48,7530.01,1545.81,44,2,7,2,597,39222.09,2,1
44,12209.19,6811.68,20,3,6,1,703,31682.49,9,0
50,13525.79,3377.37,18,5,3,2,557,18727.34,18,1
29,1721.57,16808.27,27,5,2,1,614,23052.2,4,0
31,400.3,4250.41,37,6,2,1,519,14032.22,11,0
48,970.95,5767.3,35,3,6,1,696,7940.49,3,0
41,2236.94,2958.09,26,2,5,3,551,28999.14,5,1
61,5108.75,5802.2,16,2,3,4,734,10848.09,8,1
48,2628.55,2706.5,14,3,4,3,467,18745.01,5,0
44,6477.7,9357.87,15,4,1,1,566,4568.68,2,1
50,5723.77,8259.02,29,2,4,5,595,516.44,1,1
48,3971.17,3084.44,67,1,13,5,699,63502.56,2,1
40,16770.54,2039.37,35,3,5,4,541,51712.92,13,1
41,11157.16,11281.18,21,1,5,2,576,28631.62,14,0
36,2657.56,4491.7,36,3,5,1,655,24372.25,5,1
34,255.01,3099.57,18,4,2,1,530,8495.52,4,0
48,2247.98,6153.65,36,6,2,3,615,13150.51,4,0
45,1771.7,6016.14,19,3,4,3,547,16329.91,2,0
51,13590.45,1529.13,36,3,5,1,677,40874.6,9,1
35,50920.4,15286.52,25,6,9,1,591,45376.85,14,0
18,618.49,16067.25,58,2,5,3,687,13520.89,15,0
36,1467.73,17106.22,26,2,3,3,562,43962.73,3,0
51,4347.67,9658.93,13,7,2,5,612,20109.7,3,0
42,12935.94,8554.49,21,5,5,1,625,18465.24,7,0
38,368568.79,21648.16,19,2,9,4,697,27437.61,3,0
40,47384.95,15012.74,31,3,5,2,551,9784.98,5,0
53,2627.71,4664.18,17,1,1,5,593,3834.38,0,0
19,1055.21,18732.37,20,2,2,4,567,39066.79,1,1
30,1574.55,26374.4,38,2,1,5,575,44686.58,2,0
51,5690.01,7821.0,23,6,7,3,640,32821.65,2,0
31,501.37,5184.7,34,5,2,1,623,9113.18,10,0
35,800.95,8294.18,33,2,9,3,644,60911.59,6,1
43,2468.24,5761.61,26,6,2,2,558,4574.52,7,0
44,1567.65,5749.18,31,6,5,2,562,1796.15,4,0
45,2249.44,3979.15,35,2,2,3,629,2284.97,2,0
46,381.41,10767.33,35,3,3,1,588,15220.36,6,0
47,2125.86,4189.35,23,8,3,3,557,6640.74,4,0
55,20026.88,2548.93,13,3,5,0,592,8975.05,13,1
58,3453.63,4117.69,16,3,5,6,545,623.45,9,0
50,20283.19,8930.49,19,4,5,2,626,12591.82,0,0
18,352.73,16224.17,32,3,2,2,587,15519.92,10,0
33,2753.94,23223.36,21,2,1,3,660,45049.03,6,1
45,2204.64,5888.97,67,4,4,1,552,35372.72,3,0
46,1554.07,3236.23,25,2,2,4,626,4159.81,13,0
50,665.34,4272.49,18,6,4,3,589,7610.47,3,0
52,19575.92,11110.85,17,5,5,4,567,3826.65,2,0
49,2047.83,2003.56,22,3,6,4,534,25643.25,2,0
59,5991.68,1669.81,13,4,1,5,620,7735.58,3,0
23,842.16,17005.42,25,3,4,0,701,29073.65,7,0
49,3859.31,6605.86,29,1,2,2,608,8413.88,3,0
40,15563.06,17653.32,22,7,2,1,574,16210.59,2,1
32,9230.63,19465.45,38,6,4,3,617,50616.45,6,1
45,2816.12,15220.46,34,2,2,5,561,32236.75,7,0
28,4902.93,11568.96,60,6,3,5,598,9892.49,17,0
18,464.29,13464.11,62,1,2,4,636,533.79,15,0
44,6576.54,5163.83,30,5,2,0,634,6110.88,12,0
43,1233.53,2061.48,39,2,4,1,555,4089.67,13,0
36,1430.78,13772.72,43,1,8,5,629,9505.93,5,1
45,3536.62,5718.21,24,8,4,1,586,6678.18,2,0
54,3085.26,5421.28,39,1,2,4,578,20015.71,4,0
22,90.15,1217.18,41,3,3,2,637,5761.14,15,0
71,21891.15,20117.74,54,3,2,3,563,31533.72,4,1
21,201.83,7855.33,34,4,1,1,629,4713.86,9,0
30,131.03,3796.51,22,4,3,2,687,2154.7,14,0
52,4842.66,3270.33,22,5,3,1,594,9909.46,10,1
42,33527.89,1917.68,39,3,9,1,530,85019.11,26,1
43,2801.14,2283.94,19,3,3,1,585,19847.67,10,0
64,13091.92,13844.64,32,4,2,0,539,38929.95,9,1
53,3098.56,5741.17,12,3,8,4,491,38048.77,1,0
39,19532.65,8463.18,16,2,5,2,583,29078.08,12,1
49,1940.01,3206.79,13,1,5,4,586,14710.41,1,0
38,7280.32,10964.8,36,3,4,1,659,5275.83,7,0
43,5112.3,1246.98,26,4,4,1,541,9194.76,11,1
28,1428.52,17962.39,21,3,5,1,589,41119.72,4,0
34,639.42,13588.58,24,3,3,3,576,35744.13,1,0
54,1957.33,3339.31,15,5,2,4,614,10894.78,5,0
59,2930.0,7786.75,17,1,1,3,572,17148.07,5,1
43,1661.93,5625.55,28,5,9,2,668,33195.9,5,0
56,7245.82,7166.43,32,5,5,2,551,44209.33,5,0
58,5307.03,13481.07,40,5,2,3,609,13428.53,0,1
43,4805.49,7443.41,35,2,7,2,670,36799.1,2,1
49,5330.64,9991.3,12,1,4,5,624,11776.57,3,1
48,1616.25,3319.71,35,3,1,3,619,6600.91,4,0
59,2739.36,9125.33,29,2,3,4,549,31260.03,11,1
43,23985.05,5741.84,31,2,4,9,638,18615.0,14,1
56,9009.26,4666.66,70,1,10,1,558,64178.15,9,1
41,1625.01,4681.62,29,8,5,1,534,52800.33,22,0
71,16282.88,11648.33,27,2,3,3,598,22446.85,9,1
56,6614.27,6998.7,13,1,2,1,594,18598.92,7,1
40,9124.26,12006.74,30,2,3,3,567,36941.7,8,1
59,6109.91,7686.99,26,2,5,6,624,36272.83,7,0
32,759.35,5289.89,48,4,3,1,583,18400.63,10,0
43,20317.1,7883.86,12,5,2,2,555,8082.85,4,1
47,13647.53,5041.15,14,2,4,0,637,22867.92,6,0
44,1125.74,4816.23,38,7,5,3,604,52020.95,18,0
42,12867.18,7790.77,26,7,4,1,619,14529.92,20,1
56,12260.96,11998.33,30,3,2,3,585,39335.64,10,1
40,8046.83,12805.65,36,2,4,0,620,4425.43,0,0
38,142.87,11529.24,43,4,8,1,681,380.19,11,0
43,3266.76,4396.1,13,2,3,2,622,23391.38,13,0
43,22521.38,11686.04,37,3,1,1,668,1665.11,10,0
47,8102.9,7078.37,18,2,2,2,670,12155.24,9,0
44,703.99,3954.51,35,5,9,1,625,22298.17,6,0
48,962.75,4007.79,24,7,1,3,563,8822.18,8,0
44,5006.62,5338.17,14,4,4,1,610,19832.41,10,0
18,624.7,23561.07,24,1,2,2,625,28333.48,5,0
54,2723.98,4454.35,42,5,1,4,535,13226.8,1,0
64,24931.36,14077.22,46,5,6,5,554,52.91,3,1
30,1009.59,12329.47,19,5,1,0,651,18730.25,1,1
40,4511.41,3589.96,15,1,4,1,517,29044.16,13,0
48,5485.45,7352.45,15,2,7,3,592,20033.88,1,0
30,39107.81,16413.48,30,6,6,5,590,21338.89,13,0
39,1074.57,7367.76,14,4,5,1,584,26532.0,3,0
65,17390.42,14783.03,22,2,2,1,608,52508.0,13,1
56,14942.16,3145.24,50,1,6,3,580,11014.42,0,0
49,2894.93,8814.92,33,2,3,4,546,13245.13,5,0
35,6202.4,19266.26,16,2,3,0,568,34275.12,14,1
45,1864.99,10403.34,20,3,4,2,644,43575.12,10,1
18,621.56,18776.31,29,5,2,1,554,22406.07,8,0
50,4121.8,6846.3,38,2,4,4,645,11477.79,4,1
42,18227.42,9715.2,43,7,2,2,537,2553.74,8,0
49,617.49,2404.4,23,4,4,6,631,21872.87,9,0
41,1549.5,11036.7,21,3,3,3,525,31437.9,2,0
47,12885.39,4779.07,16,3,4,0,591,23528.83,7,0
28,3193.85,23867.34,20,6,1,2,590,30654.15,2,0
42,6552.8,10978.43,18,4,4,2,571,10270.44,7,0
35,1699.01,3105.33,52,5,8,0,580,39082.3,4,1
39,3383.39,2444.36,15,5,4,4,588,3485.69,8,1
37,615.44,3810.41,31,4,6,1,641,17969.99,5,0
33,1233.93,10474.38,76,4,10,2,629,96507.85,24,1
46,14570.22,5338.99,17,2,2,2,641,2450.43,2,1
47,1063.27,4540.9,46,5,3,3,597,18405.4,5,0
18,299.06,19159.97,29,1,4,1,560,25361.52,14,0
65,3010.4,6403.0,18,5,3,6,500,2188.71,4,0
30,773.5,5891.81,49,1,5,1,618,8200.83,8,0
32,434.09,6535.03,17,1,3,0,648,16108.22,5,0
49,995.11,3680.49,28,5,2,4,610,4837.4,4,0
40,439.64,1789.25,33,2,4,2,676,1537.81,9,0
43,1874.08,4684.44,30,5,4,1,580,16807.28,1,0
57,7015.25,5316.22,27,4,5,0,582,3124.28,4,1
44,7867.98,6326.91,19,2,3,1,615,4083.07,13,1
36,11073.17,2792.48,28,1,3,4,558,26753.87,19,1
55,3088.5,9267.01,34,1,5,7,580,11400.25,8,0
39,3946.43,6043.79,18,1,6,1,545,23336.73,5,0
41,4333.77,5069.28,12,6,3,2,647,5985.47,4,1
60,27548.9,7933.35,19,2,6,3,547,1989.32,3,1
45,202.66,5527.42,40,5,5,3,621,10265.53,11,0
44,1873.53,5939.4,19,7,9,1,558,41380.36,0,0
43,6712.16,3513.44,45,7,2,0,625,49919.55,21,1
41,439.64,2052.85,24,5,1,4,645,5889.74,10,0
48,5033.69,8156.49,45,5,2,2,698,17615.71,3,0
64,3852.13,9307.44,31,5,3,3,684,3763.94,0,1
51,7524.19,7167.64,23,4,3,3,625,11849.61,5,1
18,662.74,19973.81,29,1,3,0,607,9629.14,10,0
38,12454.5,1575.81,29,4,4,2,588,58793.8,28,1
31,2184.86,17441.42,32,5,7,2,611,1619.79,2,1
40,814.73,6802.28,25,2,2,4,597,1160.78,7,0
28,479.82,8910.14,27,2,7,1,579,34454.81,6,0
53,1713.1,4770.04,28,4,2,5,539,11582.6,5,0
31,166.78,6989.34,55,4,3,1,565,19061.53,15,0
38,3746.69,6517.4,34,1,1,1,639,9355.81,15,0
35,8645.98,9762.21,29,6,9,0,694,47904.15,14,0
49,17905.35,4251.15,16,3,5,0,550,32435.79,7,0
44,5269.96,9266.59,22,4,6,2,642,8637.98,1,0
48,2598.15,7755.15,21,4,6,3,608,30927.5,4,1
50,4374.14,9276.41,15,1,2,5,616,10865.03,2,0
49,4564.67,5628.38,25,5,5,1,530,44062.26,11,0
42,117817.82,15958.99,30,3,5,2,567,14329.1,5,0
43,5180.08,7748.53,18,4,2,2,564,15339.39,14,0
52,5746.74,2966.24,32,1,7,4,642,33001.23,1,0
60,1114.28,5981.47,27,3,3,5,629,10271.08,2,0
46,5277.93,6981.19,52,1,3,0,630,20766.65,2,0
45,2669.07,2671.44,12,3,3,2,501,22370.85,10,0
35,503.2,9222.53,19,6,2,2,646,24781.27,1,0
32,2175.45,4339.63,38,3,4,4,597,48109.88,19,1
36,2241.24,3104.25,34,2,1,2,641,14493.41,17,0
39,9924.2,12041.68,57,2,3,2,528,19482.58,6,0
31,5213.43,20795.88,31,2,2,1,559,41168.25,2,1
43,3431.55,4963.31,22,3,3,1,602,15703.72,10,0
50,1333.36,1092.47,45,3,3,2,700,15162.94,1,0
26,245.6,11321.09,19,2,2,0,635,27498.38,2,0
37,459.4,3829.61,52,2,3,0,693,14635.8,10,0
41,1199.37,3718.79,29,7,1,1,714,2549.88,1,0
48,2074.67,1605.64,48,2,3,0,595,15765.91,1,0
54,11041.87,2441.37,43,2,8,5,543,48709.43,4,0
28,1034.25,17708.92,15,1,3,2,570,20837.57,1,0
49,882.12,1238.7,43,1,4,3,515,17632.09,5,0
43,4965.37,3999.74,80,2,14,3,529,100358.97,14,1
41,11818.53,6906.51,22,2,6,0,566,38349.92,13,0
35,5406.9,11275.72,26,5,6,1,657,13625.88,2,1
42,593.58,1289.83,22,8,1,2,586,302.72,4,0
45,41908.82,10200.21,14,1,5,1,613,24574.29,6,0
50,972.4,3446.62,46,3,4,4,560,26661.79,0,0
44,7996.79,6424.0,14,4,6,1,610,29116.26,9,0
53,1795.29,4036.62,52,2,5,3,621,36063.22,3,0
55,14299.55,8770.31,30,8,4,3,620,8287.02,9,0
35,1018.92,1136.05,33,2,2,1,658,17795.15,9,1
51,1242.65,33319.71,80,4,5,5,670,118884.95,25,1
44,11271.31,13091.58,50,2,2,0,577,20650.8,4,0
38,862.81,9598.34,13,2,5,2,602,32830.76,3,0
42,15393.83,12252.1,30,1,4,0,520,6431.42,6,0
43,11481.04,8831.73,43,4,8,4,556,53606.76,16,0
18,137.81,9573.61,34,4,3,1,647,10113.48,16,0
50,21723.61,9100.82,14,7,5,2,602,16711.62,1,0
37,4986.93,3341.39,14,1,3,6,514,14186.6,12,1
18,30.72,8903.04,15,6,2,3,533,11879.22,15,0
45,779.81,4992.85,42,5,4,1,694,1045.57,5,0
45,8951.89,6323.36,24,4,1,5,571,21752.77,8,1
49,4321.33,8432.34,25,4,5,4,665,3180.71,5,0
41,12844.04,9292.02,21,4,5,1,549,20715.37,9,0
43,14869.38,6348.5,12,3,3,7,670,24225.55,12,1
44,1304.39,3448.0,15,1,7,3,613,22311.66,3,0
43,182.96,9131.57,21,4,5,1,550,2450.15,6,0
26,666.65,10276.81,30,2,2,1,555,8071.43,8,0
49,18388.81,9264.02,29,2,3,1,605,2386.3,3,0
45,252.67,11790.7,42,10,1,2,560,28951.08,9,0
71,6653.5,5496.04,15,4,4,7,626,8966.53,5,0
53,1414.08,8483.5,35,8,3,1,608,7128.74,4,1
48,1474.93,3301.8,23,2,2,2,556,11935.67,5,0
29,198.28,6592.46,17,6,1,1,579,7162.62,8,0
34,8888.79,7962.89,22,2,4,4,559,21703.67,7,1
48,880.84,6740.85,22,1,2,1,706,15783.23,6,0
24,1900.55,21314.84,31,3,1,1,648,16571.4,9,0
33,8398.92,21432.4,23,2,3,1,567,19746.66,2,1
39,18835.93,12277.48,33,1,11,1,647,47742.11,7,0
50,1558.55,1083.59,24,4,5,1,581,26921.64,4,1
52,5743.57,4962.31,24,4,4,3,660,4744.43,4,0
42,3571.48,9125.54,34,5,5,2,595,7032.15,5,1
44,14789.78,12710.68,44,4,2,0,611,12793.32,0,0
49,2429.07,3648.96,24,3,2,3,580,7660.94,0,0
42,5728.52,1610.1,27,2,6,4,606,10343.76,8,1
38,2702.89,6832.51,26,1,5,2,722,24999.48,3,1
71,1797.45,18709.78,50,7,3,1,628,9027.95,15,1
46,12757.11,8955.98,27,1,7,3,561,34427.13,7,0
38,20840.49,10363.3,33,2,4,3,534,13518.75,9,0
53,1269.9,4410.22,17,2,2,4,531,8364.23,8,0
39,5226.52,8409.34,33,4,1,0,605,5607.95,13,0
35,3505.64,13867.44,38,3,5,1,732,25201.22,5,0
18,244.8,3986.33,63,6,5,5,563,1607.89,14,0
45,1432.02,3031.88,27,3,4,2,628,14623.61,0,0
39,5131.62,6221.65,49,7,8,2,667,75946.69,20,1
51,10258.19,3867.76,18,3,3,2,522,9304.26,6,1
37,519.9,3662.01,29,2,5,2,591,8680.86,10,0
41,7128.43,3528.37,24,6,6,5,584,19786.5,2,1
39,2347.62,14731.22,12,8,5,4,617,7394.57,2,0
54,29616.79,13579.97,55,3,1,1,580,33998.23,12,0
41,5371.12,1454.81,16,4,3,3,625,13592.29,12,1
46,956.12,2577.92,33,4,1,3,651,11332.51,6,0
41,18369.87,6331.93,21,1,4,3,569,25226.99,11,0
64,4393.16,15240.25,34,2,2,1,708,8451.35,5,1
49,2211.56,9122.96,23,3,1,5,665,22904.87,4,0
47,1701.5,6957.68,41,4,4,4,673,19236.89,7,1
18,184.75,10542.67,33,5,2,1,585,6486.48,15,0
52,3852.77,2942.46,12,2,2,4,653,15836.22,8,0
32,660.43,7040.12,33,2,5,0,534,17544.7,9,0
36,872.45,9850.26,13,12,4,2,577,25316.42,3,0
20,1211.57,18310.21,40,1,2,1,581,10256.88,8,0
40,1646.3,12590.5,13,3,3,3,625,29011.04,1,0
35,6528.34,7871.07,35,1,1,3,610,15582.04,19,0
46,18713.35,13145.05,39,6,3,0,654,9667.85,1,0
54,6374.75,6950.13,19,5,2,0,622,15231.35,6,1
47,28782.87,15510.47,36,4,10,4,609,26504.12,5,1
53,11324.34,9177.9,21,4,5,3,543,1081.95,7,0
59,1298.65,14572.52,42,6,5,2,605,9794.97,1,0
46,4476.69,5404.68,24,5,1,4,640,9087.29,2,1
48,861.07,9283.27,45,2,6,1,589,2450.3,5,0
37,3494.5,2978.2,18,3,5,5,623,11325.32,5,1
44,21002.89,11799.3,29,2,9,2,580,34580.32,4,1
55,227541.66,11195.96,17,2,7,1,628,29250.93,1,0
51,4102.84,2417.47,13,1,3,4,607,19368.48,9,0
44,636.41,2214.87,26,2,6,2,540,14514.01,7,0
38,26488.29,16020.0,29,1,4,1,604,7131.73,8,0
31,1324.34,8091.72,36,4,2,1,663,4882.78,19,0
31,3957.09,2461.32,14,3,5,7,579,851.3,11,1
19,848.8,7788.15,22,2,2,4,562,20313.36,21,1
28,781.06,9200.18,39,2,1,0,588,4142.84,10,0
49,9446.04,4435.91,39,2,3,0,642,4978.59,5,0
28,3809.79,15779.98,28,4,11,5,681,65699.59,0,1
57,5757.15,13826.92,27,2,2,2,588,37580.38,9,1
45,401.64,2010.28,32,3,3,4,616,3053.78,12,0
64,10325.69,14614.65,40,4,5,2,585,10240.48,2,1
43,18290.66,11050.21,24,2,2,0,467,10307.05,13,0
41,596.66,3326.68,46,2,2,0,672,14178.2,1,0
24,398.78,3227.53,59,1,3,3,608,8745.79,13,0
46,515.58,7409.08,54,3,3,5,622,36894.15,0,0
30,863.65,7086.17,31,1,7,6,588,55595.16,9,1
37,3816.38,8608.7,25,1,7,3,581,34562.86,2,1
26,214.93,2854.31,40,1,1,0,624,17494.32,17,0
47,10780.34,6546.33,15,2,5,2,663,23821.53,5,0
42,1131.3,8796.02,18,3,2,3,665,14016.41,0,0
51,9894.03,3400.52,19,3,2,2,615,14916.04,7,0
29,826.05,3850.94,47,2,6,1,650,33713.49,9,1
62,1311.94,7713.75,18,1,3,5,557,8805.94,5,0
52,3256.48,4198.73,18,2,5,4,556,19495.98,0,0
41,4720.67,5600.5,32,1,3,1,569,8432.35,6,0
45,8693.4,10551.76,29,4,8,4,528,31229.49,4,0
46,21341.64,9109.22,16,1,5,0,566,19010.78,6,0
45,490.42,3066.84,23,3,1,3,558,5787.06,4,0
18,60.57,7315.93,24,3,5,1,589,16197.49,15,0
47,2446.13,11112.91,30,3,4,3,644,38797.99,6,0
50,479.92,4982.23,16,4,2,4,622,2123.79,4,0
19,500.46,22392.16,25,2,2,1,534,39891.82,5,0
53,10848.62,10065.67,15,3,8,3,563,39433.83,1,1
39,8512.0,8919.92,20,1,3,0,613,21410.92,15,0
45,23557.8,11642.68,27,9,5,0,596,7525.03,1,0
50,8825.56,4968.73,27,1,1,2,628,3671.59,6,0
76,13745.44,17038.07,42,5,3,3,553,24319.69,4,1
55,1866.11,5289.04,60,4,6,4,585,49250.94,6,0
44,567.24,1284.23,24,2,1,3,553,4817.99,10,0
64,37184.75,20815.98,18,1,2,5,696,66968.49,13,1
19,544.57,10694.22,52,3,2,2,599,1951.71,15,0
48,47175.17,6372.07,26,4,2,2,616,16856.68,8,0
22,325.1,11326.56,24,4,4,1,603,18733.28,10,0
38,1958.5,2738.65,26,2,1,1,493,12501.34,8,1
29,906.04,13503.11,17,2,1,0,644,20150.73,2,0
45,18968.51,6686.17,13,4,7,1,601,30718.27,4,0
29,2852.4,4899.07,14,1,3,6,622,1712.35,10,1
49,414.84,4030.05,16,6,5,5,547,14855.73,1,0
44,4099.09,3952.27,15,5,3,1,568,18917.56,11,0
47,9363.55,4048.92,18,5,4,0,626,3335.25,12,1
36,825.77,11679.92,13,2,4,3,577,29926.68,4,0
50,65404.36,11396.31,17,4,7,2,603,29984.42,4,0
38,1270.16,1702.79,33,3,2,1,593,5105.95,1,1
37,579.75,4594.79,26,3,6,1,619,19359.34,8,0
56,11917.0,11897.75,21,5,1,2,580,38431.03,8,1
57,38702.51,8753.98,26,2,6,5,675,6352.81,6,1
52,1551.47,1408.53,24,3,2,5,539,284.0,3,0
40,768.11,8088.95,12,3,1,3,627,12448.05,3,0
46,2554.38,1559.3,15,1,4,1,552,24169.73,8,0
43,34608.85,7149.79,19,4,6,2,566,38307.23,11,0
47,7255.33,1066.12,24,3,3,2,541,40328.65,19,0
18,188.67,20340.96,20,5,2,2,563,21287.5,10,0
27,395.86,6216.1,40,3,2,0,658,1577.48,11,0
40,1637.68,1017.06,20,1,4,2,547,38303.94,19,0
46,551320.06,13514.49,52,2,13,1,699,74000.87,7,0
44,1202.03,2561.47,26,4,3,2,568,5983.7,3,0
18,166.7,21130.07,13,4,2,3,550,29740.19,6,1
30,1459.24,13157.56,38,6,2,1,595,5675.47,10,0
45,1522.78,2910.62,25,4,1,2,604,2858.18,9,0
28,862.54,3538.17,43,1,4,5,522,38163.79,11,1
45,3475.58,5121.04,43,6,1,0,581,6819.44,3,0
56,9244.79,2530.84,18,8,5,4,522,19704.73,1,0
45,5356.77,6101.69,31,2,1,1,593,1106.35,9,0
40,1348.03,11130.72,18,3,2,3,612,23783.37,1,0
40,234.65,1145.72,13,2,2,3,610,4564.27,7,0
28,161.11,6476.2,13,3,2,1,616,3679.89,10,0
44,236.96,5552.85,13,4,4,3,625,9214.79,5,0
41,1042.82,2696.36,35,3,3,1,661,2945.6,4,0
38,739.86,6474.93,19,1,4,2,600,13000.5,9,0
81,20085.72,20572.45,26,5,2,4,623,53581.44,8,1
41,12595.33,6591.19,16,4,5,1,490,32342.8,13,0
48,3183.36,6011.5,28,3,1,4,631,239.29,7,0
45,5835.23,1307.05,16,5,2,0,574,29980.59,15,0
56,10621.14,9918.01,22,3,3,2,596,21174.8,6,1
38,1527.97,5140.9,35,5,2,0,557,2315.4,14,0
34,4303.84,5645.83,45,5,1,4,588,7517.76,15,0
45,9649.93,10734.55,43,2,1,2,742,4584.21,1,0
51,6114.06,4529.73,21,4,5,4,679,22405.91,4,0
44,397.45,1568.25,13,2,2,4,659,7387.74,2,1
56,28877.69,5312.28,38,7,6,1,540,44804.47,1,1
60,5040.11,11396.53,36,5,4,2,548,4323.97,5,1
27,730.27,11823.63,27,4,2,0,494,17891.33,5,0
30,1338.3,4243.86,56,5,9,1,541,42549.58,4,1
38,7681.47,8157.46,16,1,6,0,630,36141.24,15,0
50,288350.62,15422.08,13,3,8,1,696,24897.11,2,0
32,275.54,3847.62,23,3,2,1,672,5151.39,7,0
38,1203.66,2385.78,15,5,4,1,609,32039.37,16,0
49,1511.12,1281.79,39,2,3,2,614,7323.51,6,0
46,8195.94,1841.61,40,5,6,0,595,38476.97,6,1
31,41140.2,15577.2,16,4,6,3,607,38935.65,20,0
52,1615.81,3276.87,61,5,7,3,578,38347.71,1,0
37,668.37,7568.86,15,2,1,3,697,7738.82,6,0
30,2869.99,21706.14,13,3,5,2,648,44435.09,3,0
39,4063.83,11011.96,45,2,1,0,616,13317.37,5,0
37,58439.0,12037.06,18,4,8,3,696,43280.52,13,0
55,44211.29,10225.26,16,2,3,3,574,7471.17,1,0
47,1091.15,1732.26,23,8,2,4,585,2096.03,3,0
44,4193.15,10818.79,52,4,2,9,557,8792.31,1,1
50,17564.19,4767.23,25,4,6,2,530,36438.27,9,0
50,813.65,3587.97,28,1,2,4,565,173.85,7,0
48,6394.75,5509.77,27,7,3,2,642,7425.91,5,0
36,3216.54,2154.1,28,1,2,2,671,28973.18,14,1
51,1375.68,2755.08,41,4,4,2,606,13006.5,4,0
39,1974.65,10922.4,27,5,1,3,600,5543.6,4,0
35,8365.59,13547.84,39,1,5,5,556,45647.71,5,1
55,2078.31,3897.27,21,2,2,6,605,9681.26,3,0
49,694.39,4709.64,20,2,5,3,645,7949.77,3,0
38,3762.37,8500.78,15,1,5,0,539,12180.8,11,1
35,1521.38,3999.14,45,1,5,2,605,40235.14,10,1
37,11692.63,11734.96,41,6,9,0,657,35008.75,2,1
48,43095.67,15900.56,37,2,12,4,623,34388.76,5,0
30,2639.19,10083.47,26,4,3,1,598,4153.16,16,1
33,2047.33,16704.52,27,2,4,2,625,27359.08,6,0
52,3513.5,10513.36,31,4,4,5,646,39514.27,5,0
33,1785.36,3424.51,16,3,5,5,595,20369.38,2,1
39,13459.31,10702.04,32,7,10,1,640,51026.79,13,0
53,41509.5,5362.88,50,6,10,1,591,94888.17,23,1
27,643.61,2803.22,23,2,2,4,607,6655.36,10,1
47,3218.23,6453.97,22,2,2,4,619,3944.44,6,0
43,124394.01,13379.22,30,1,9,1,590,47771.37,11,0
62,2680.65,8616.62,26,1,6,3,542,11139.51,2,0
19,247.82,16836.26,17,8,4,0,630,35199.35,9,0
46,10022.56,7979.34,33,3,2,0,606,102.08,4,0
41,944.74,2256.9,37,9,4,1,628,6024.4,7,0
39,4237.56,4022.03,23,6,2,2,676,10167.06,4,1
49,1593.31,1620.93,34,3,2,2,620,2056.17,6,0
33,11234.39,14475.94,35,7,3,2,604,4233.19,12,0
18,228.35,13506.38,35,5,5,3,488,25011.75,13,0
48,4569.05,1976.35,43,2,5,3,608,23256.09,4,1
44,8177.24,3845.86,50,9,8,1,594,76438.02,21,1
